source,project_number,project_title,phase,recipient,geographic_distribution,location,description,collaborators,broad_header,section,include
BCSRIF,BCSRIF_2020_239,Causes and consequences of vateritic otoliths in hatchery-reared Coho salmon,1,"University of Victoria, Department of Biology",South Coast,Victoria,The goal of this project is to determine the causes of vateritic otolith development (ear bones that have crystalized resulting in hearing loss) in hatchery-reared Strait of Georgia coho salmon to investigate the consequences for survival and in turn population recovery.,,NA,NA,n
BCSRIF,BCSRIF_2020_241,Climate Action Priorities for Salmon,1,Pacific Salmon Foundation,Fraser and Interior,,This project will create a Climate Action Plan for BC salmon through three initial project components: developing improved genetic baselines to understand genetic differences at a scale finer than Conservation Units; developing a ‘Playbook  to guide landscape recovery strategies and priorities for salmon following major fires; and assessing Fraser River migration impediments.,,NA,NA,n
BCSRIF,BCSRIF_2020_242,Clayoquot Wild Chinook Salmon Initiative,1,Redd Fish Restoration Society,South Coast,"Central Coast Sub-region, BC","This project aims to restore critical spawning and rearing habitat in Clayoquot Sound for high-conservation concern wild chinook salmon. Engaging biologists and engineers from British Columbia, Oregon and Washington this project will utilize innovative ecological engineering technologies to restore fish habitat and revitalize drastically declining stocks.",,NA,NA,n
BCSRIF,BCSRIF_2020_247,First Nations-led Freshwater Salmon Habitat Assessment & Restoration Planning in the Central Coast,1,Central Coast Indigenous Resource Alliance Society,Central Coast and the North,Bella Coola,CCIRA will develop watershed-scale habitat assessments in the Central Coast sub-region of BC in alignment with the Watershed-based Fish Sustainability Plan. Habitat restoration plans will be developed and implemented for high-priority watersheds to improve hydrological stability and increase resilience to climate change followed by post-restoration monitoring to evaluate the effectiveness of restoration efforts and to improve future restoration planning.,,NA,NA,n
BCSRIF,BCSRIF_2020_251,Kleanza Creek Salmon Habitat Enhancement and Restoration Project,1,Kitselas First Nation,Central Coast and the North,Terrace,Kitselas First Nation and partners will develop a prioritized enhancement and restoration plan for Kleanza Creek with the ultimate goal of restoring structural and functional connectivity of salmon habitat that has been destroyed.,"Ecofish Research Ltd.
Fisheries and Oceans Canada Resource Restoration Unit ",NA,NA,n
BCSRIF,BCSRIF_2020_259,Understanding FRIM in the BC Public Fishery,1,Sport Fishing Institute of BC,BC Wide and Coastal Waters,Coast wide,The recipient will establish a program to raise awareness and an understanding and appreciation of the importance of selective fisheries and minimizing Fishing-Related Incidental Mortality amongst local salmon anglers. The SFI will collaborate with the University of British Columbia's Pacific Salmon Ecology and Conservation Laboratory to create a science-based set of Best Salmon Fishing Practices to encourage anglers to adopt tools and best practices.,,NA,NA,n
BCSRIF,BCSRIF_2020_260,"Modernizing Recreational Catch Monitoring, Data Collection and Communication",1,Sport Fishing Institute of BC,BC Wide and Coastal Waters,Coast wide,BCSRIF funding will support further improvements to the Fishing BC app to enhance and modernize catch log expansion and improve the quality of data collection as well as public education and outreach to promote awareness of the app and the importance of collecting accurate recreational fishery data.,,NA,NA,n
BCSRIF,BCSRIF_2020_261,Recreational Release Mortality Studies and Fishing Related Incidental Mortality (FRIM),1,Sport Fishing Institute of BC,BC Wide and Coastal Waters,Fraser,This project aims to improve understanding of the impact and root causes of Fishing Related Incidental Mortality (FRIM) for salmon in BCs recreational fishery and to inform management measures that account for and mitigate the impacts of recreational fishing on non-target stocks. A best practices guidebook and outreach program will provide anglers with key information on how to minimize FRIM through appropriate gear and fishing techniques.,,NA,NA,n
BCSRIF,BCSRIF_2020_262,Fraser Salmon Management Program,1,Fraser Salmon Management Council (FSMC),Fraser and Interior,Fraser River Estuary,BCSRIF funding will bring together Indigenous biologists technical staff and experts from other agencies to share findings and make recommendations that will support the protection and restoration of Fraser Chinook and other salmon stocks. Project activities will enable Indigenous leaders to make informed decision about salmon fisheries conservation protection and enhancement the development of annual Indigenous fisheries plans and a suite of adaptive tools and techniques for modeling outcomes and providing options for decisions makers.,,NA,NA,n
BCSRIF,BCSRIF_2020_268,Fraser River Estuary Salmon Habitat (FRESH) Restoration Projects,1,Ducks Unlimited Canada,Fraser and Interior,Harrison River and adjacent Lower Fraser River,Ducks Unlimited Canada (DUC) will work with partners to implement three large-scale projects to restore key Fraser River estuary tidal marsh habitat and access to these critical habitats for the benefit of COSEWIC-listed Fraser River chinook coho steelhead and sockeye salmon populations as well as other juvenile salmon populations. These efforts aim to reverse the effects of human-caused impacts to the Fraser River estuary which combined with the anticipated future effects of sea-level rise severely impair ecological resilience and wild BC salmon survival.,,NA,NA,n
BCSRIF,BCSRIF_2020_269,Conservation Fishing - A First Nations Demonstration Selective Fishing in the Lower Fraser River,1,Harrison Salmon Producers LLP,Fraser and Interior,Coast wide,The recipient will develop and deploy selective fishing alternatives to gill nets for times when fishing opportunities for non-selective gear are most restrictive. Stock assessment collaborations are expected to grow over the life of the project along with the increased tagging recovery and sampling capacities in the lower Fraser and ultimately support the modernization and sustainability of Fraser River salmon fisheries.,,NA,NA,n
BCSRIF,BCSRIF_2020_270,SFAB Vision - Phased Implementation,1,Sport Fishing Institute of BC,BC Wide and Coastal Waters,"Salmon River, Columbia-Shuswap Regional District",This project builds on previous work to further the implementation of the Sport Fishing Advisory Board (SFAB) Vision for the recreational fishing sector in BC. This phase of the project will focus on modernizing the SFAB model to ensure that the interests of the recreational fishery are represented to regulators and decision-makers.,,NA,NA,n
BCSRIF,BCSRIF_2020_273,Salmon River Collaborative Salmonid Habitat Enhancement and Restoration Initiative,1,Yucwmenlucwu (Caretakers of the Land) Splatsin Development Corporation,Fraser and Interior,Lower Fraser Valley,Funding will support a holistic approach to managing and restoring ecological flows in the Salmon River watershed through the application of Indigenous Knowledge and science-based data resulting in a healthier watershed and an increase in local salmonid populations.,,NA,NA,n
BCSRIF,BCSRIF_2020_276,MakeWay - Resilient Waters Lower Fraser Valley Rehabilitation,1,MakeWay Charitable Society,Fraser and Interior,,"Building on earlier work funded by BCSRIF, Phase 2 of Make Way's Resilient Waters initiative will restore connections to wild salmon habitat which has historically been alienated by flood control infrastructure installed adjacent to the Lower Fraser River between Richmond and Hope. Working with cross-sector partnerships this project aims to implement fish-friendly flood control solutions and advance research and best practices for fish-friendly flood practices.",,NA,NA,n
BCSRIF,BCSRIF_2020_278,Wuikinuxv Assessment and Restoration of Rivers Inlet Salmon,1,Wuikinuxv Nation,Central Coast and the North,Rivers Inlet,This project aims to build the fisheries expertise and operational capacity within the Wuikinuxv Nation Stewardship office. This will be achieved through three key activities: assessing the productivity of Owikeno Lake and its carrying capacity for juvenile Sockeye Salmon acquiring the sonar equipment needed to count adult salmon returns to the Waanukv River and building capacity related to procedures and the operation of equipment needed to support local salmon projects.,"Pacific Salmon Commission 
Pacific Salmon Foundation
Skeena Fisheries Commission",NA,NA,n
BCSRIF,BCSRIF_2020_279,Supporting the Ongoing Use and Development of the Pacific Salmon Explorer,1,Pacific Salmon Foundation,BC Wide and Coastal Waters,Fraser River,BCSRIF funding will support the expansion improvement and application of an interactive data visualization tool for tracking and reporting information on the status of Pacific salmon Conservation Units (CUs) and their freshwater habitats in British Columbia. CUs are groupings of salmon at the stock level sharing common genetic traits geographic distribution and life-history that is defined for the purposes of identifying challenges to survival and potential conservation strategies. The project will result in more timely credible and standardized information on the status of salmon and their habitats and is critical to informing science-based decisions for salmon conservation and management.,,NA,NA,n
BCSRIF,BCSRIF_2020_282,Selective Fishing Gear Pilot in the Fraser River,1,Lower Fraser Fisheries Alliance Society,Fraser and Interior,Pacific Coast,"Katzie, Kwantlen, Sumas and Chilliwack First Nations will develop test and operate selective fishing gear and techniques to demonstrate their effectiveness in supporting the modernization of Fraser River salmon fisheries in the face of climate change and declining salmon populations. This pilot project applies traditional First Nations methods in modern ways with the goal of improving First Nations' access to their constitutionally-protected food social and ceremonial (FSC) salmon fisheries.",,NA,NA,n
BCSRIF,BCSRIF_2020_284,Technology for more sustainable fisheries in BC,1,T. Buck Suzuki Environmental Foundation,BC Wide and Coastal Waters,"Central Coast Sub-region, BC",This project aims to enhance the sustainability of BCs fisheries using the use of innovative technologies. The project will test the effectiveness of LED light usage in shrimp trawl fishery and use of knotless nets in the salmon and herring seine test fishery to reduce bycatch increase survivability of bycatch species and prevent entanglements.,"BC Shrimp Trawl Association
Area B Seine Association
Commercial Fishing Caucus
",NA,NA,n
BCSRIF,BCSRIF_2020_292,First Nations-led catch monitoring to inform sustainable mixed-stock fisheries management on the Central Coast,1,Central Coast Indigenous Resource Alliance Society,Central Coast and the North,Bella Coola,This project will focus on designing and implementing a coordinated strategy to fill data gaps related to Central Coast salmon populations which will inform management measures to promote sustainable opportunities for marine and Food Social Ceremonial fisheries.,,NA,NA,n
BCSRIF,BCSRIF_2020_294,Collaborative Freshwater Research and Restoration Initiative in the Thompson Watershed,1,Secwepemc Fisheries Commission,Fraser and Interior,Thompson River Watershed - Deadman River,"This project aims to fill data gaps related to Fraser coho, Interior Fraser summer steelhead and Southern BC chinook populations which will be used to inform fisheries recovery and rebuilding plans. The assessment of habitat use stream flow and temperature data and other factors affecting survivability will help to inform effective recovery strategies for salmon in BC s southern interior.",,NA,NA,n
BCSRIF,BCSRIF_2020_298,Nanaimo Hatchery Upgrades to Improve Hatchery Performance and Assessment and Monitoring Capabilities,1,Nanaimo River Hatchery,South Coast,Nanaimo,"The Nanaimo River Stewardship Society will upgrade the Nanaimo River Hatchery to address ageing infrastructure and allow the facility to adapt to changing enhancement objectives and watershed activities. Key elements include: rebuilding the aeration tower, replacing aged incubation trays and boxes, and optimizing the water supply to improve biosecurity and marking options. In addition upgrades to the stewardship building will allow the organization to maximize public and institutional education opportunities.","Pacific Salmon Foundation
Cabela's
Fisheries and Oceans Canada (StAD)
British Columbia Conservation Foundation
Mosaic Forest Management
Norse Log Homes",NA,NA,n
BCSRIF,BCSRIF_2020_300,Coastal First Nations Salmon Enhancement and Restoration Initiative,1,Great Bear Initiative Society,Central Coast and the North,"Great Bear Rainforest (Haida Gwaii, North and Central Coast)",Funding will enable the Great Bear initiative Society to undertake infrastructure upgrades at six community hatcheries to incorporate more sustainable technology and enable restoration of wild BC salmon populations of concern. Key elements include repair replacement or acquisition of additional incubation rearing spaces or equipment storage areas electrical upgrades and improvements to water supply.,,NA,NA,n
BCSRIF,BCSRIF_2020_301,Watershed Restoration Prioritization Tool/Solutions for Gold River Steelhead,1,Nootka Sound Watershed Society,South Coast,"Gold River area, Nootka Sound, West Coast Vancouver Island",The recipient will use a spatial modelling tool and the resulting threats assessment to develop an action plan to improve and monitor habitat for steelhead and other Pacific salmon species. The recipient will identify prioritized sites to be restored and develop a comprehensive strategic plan of prioritized future restoration opportunities.,,NA,NA,n
BCSRIF,BCSRIF_2020_304,Kitwanga River Sockeye Salmon Enhancement Project,1,Gitanyow Fisheries Authority,Central Coast and the North,Terrace,Funding for this project will support the exploration of enhancement options for Kitwanga sockeye salmon in order to rebuild the genetically unique stock and prevent any further decline and loss of important genetic diversity. Key activities include: research and infrastructure preparation for a potential future enhancement facility; site survey and design; biological strategy; water volume/water quality and wells; and discharge treatment.,"Pacific Salmon Foundation, DFO Ecosystem Management Branch
",NA,NA,n
BCSRIF,BCSRIF_2020_311,The application of nanopore technology for the rapid detection and characterization of pathogenic organisms in enhancement hatcheries,1,BC Centre for Aquatic Health Sciences Society,South Coast,Campbell River,The recipient aims to validate Nanopore technology as a rapid and broad-range tool for detecting salmon pathogens from biological and environmental samples from hatcheries. The technology will be applied to screen broodstock examine pathogen sources and their distribution in hatchery systems and identify/characterize the agent(s) associated with disease occurrences.,,NA,NA,n
BCSRIF,BCSRIF_2020_313,Monitoring lipid content of Fraser-bound Chinook at Albion,1,"University of British Columbia (Vancouver), Institute for the Oceans and Fisheries",Fraser and Interior,Vancouver,University of BC researchers will undertake measurements of Albion Test fishery chinook salmon lipid (fat) content to better understand how this impacts the ability of these salmon to successfully reach their spawning grounds and improve our understanding of how ocean conditions impact chinook salmon health.,,NA,NA,n
BCSRIF,BCSRIF_2020_314,Deadman River Hatchery Upgrades,1,Skeetchestn Indian Band,Fraser and Interior,Savona,The recipient will carry out critical infrastructure upgrades to modernize operations and allow the hatchery to raise all life stages of coho salmon on-site. Water production will be upgraded by installing a production well backup generator pump controls and aeration tower.,,NA,NA,n
BCSRIF,BCSRIF_2020_316,Rebuilding Wet'suwet'en Sockeye Salmon Abundance and Diversity,1,Office of the Wet’suwet’en,Central Coast and the North,Smithers,The goal of this project is to initiate a recovery research program which will contribute to restoring the abundance and diversity of the Morice Sockeye population. Information gathered through the project will address current questions related to sockeye survival sources of mortality at various life stages from juveniles to adults spawning habitat condition and direction for restoration/protection of critical habitat.,"Morice Water Monitoring Trust, DFO Stock Assessment Division
",NA,NA,n
BCSRIF,BCSRIF_2020_318,Kus Kus Sum – Restoration of key habitat to re-establish ecosystem services that will support BC fisheries.,1,K’ómoks First Nation (KFN),South Coast,Courtenay,K'omoks First Nation and partners will return an abandoned industrial site in the heart of their traditional territory back into functioning habitat. The former industrial sawmill is situated in the heart of the salmon migration corridor for the watersheds of two major Rivers: the Puntledge and the Tsolum. The restoration of this site will improve access to Food Social and Ceremonial uses of salmon provide increased recreational fishing opportunities and support the recovery of Southern Resident Orca populations.,,NA,NA,n
BCSRIF,BCSRIF_2022_319,Fishing BC App: Tidal Waters Licence Integration and Recreational Catch Monitoring and Data Collection Enhancements Project,2,Sport Fishing Institute of BC,BC Wide and Coastal Waters,Coastwide,"The Sport Fishing Institute will build on ongoing work to improve the Fishing BC app.  Recent improvements funded through BCSRIF included addition of recreational fisheries regulations, catch and possession limits, safety notes, and species identification, and the next phase will enhance the information display and access, as well as tools for improved catch and compliance monitoring, including the option for recreational anglers to submit catch data directly into the DFO National Recreational License System (NRLS).","DFO Rec Fisheries, Fisheries Management, IMIT, CDOS, & others
Simon Fraser University
University of British Columbia - Dept Forest and Conservation Sciences",Data management and tools,Innovation and technical developments,y
BCSRIF,BCSRIF_2022_321,Squamish Estuary Chinook Salmon Habitat Restoration Project,2,Squamish River Watershed Society,South Coast,Squamish,"In partnership with DFO and Squamish Nation, SRWS has developed and will implement a restoration plan to restore connectivity and access for juvenile out-migrating Chinook between the Squamish River and the central nutrient rich estuary.  The project includes the modification of a training berm/spit to allow for an 850m opening.  The training berm/spit has been a barrier for the past 50 years preventing fish access and freshwater exchange from the river to the estuary.  In January 2022, a 300m opening was created and this project will add an additional 550m to the opening.  Outcomes include improvements to; water quality, flood mitigation, and coastal resilience as well as improvements to sediment deposition in the estuary, marsh accretion, increase in carbon storage and sequestration and support to species at risk within the area. ","DFO
Squamish Nation",Restoration and recovery,Restoration prioritization,y
BCSRIF,BCSRIF_2022_322,San Juan and Gordon Rivers – Salmon Estuarine Habitat Restoration,2,Pacheedaht First Nation,South Coast,Port Renfrew,"Pacheedaht First Nation is intending to implement 3 restoration projects in the San Juan and Gordon River estuaries with support from the San Juan Roundtable and its technical sub-committee which includes DFO.  Habitat issues in these watersheds are linked to excess sediment delivery resulting from forest harvesting activities and associated road-building.  This has resulted in the infilling of holding pools and estuarine tidal channels and in some cases cutting off upstream connections to freshwater.  This issue was particularly devasting in the fall of 2022 when stage 5 drought occurred during the month of October indicating an urgent need to restore this habitat.  The project aims to address the issues of channel connectivity, availability of low salt marsh habitats and loss of holding pools by:  improving salmon access to existing spawning and nursery habitats, rehabilitating damaged estuarine nursery habitats and restoring cool water holding pools for migrating salmon. ","DFO SEP, Resource Restoration Unit
DFO Stock Assessment
BC Environmental and Climate Monitoring – Hydrology and Hydrometrics
BC MFLNRORD
Ministry of Transport and Infrastructure
",Restoration and recovery,Restoration prioritization,y
BCSRIF,BCSRIF_2022_326,Aeromonas salmonicida Genome Sequencing and qPCR Test Development,2,"Kwantlen Polytechnic University, Applied Genomics Centre",Fraser and Interior,Surrey,"KPU Applied Genomics Center will work with Abbotsford Animal Health Center to perform whole genome sequencing for several Aeromonas species, including Aeromonas salmonicida (A. salmonicida) which is a pathogenic bacterium that severely impacts salmonid populations, and other fish species.  A. salmonicida is a non-motile, gram-negative bacterial pathogen that causes disease and mortality in wild and cultured fish from freshwater, brackish, and salt water.  This pathogen is transmitted by direct contact and all life stages are susceptible.   In order to effectively monitor A. salmonicida and support fish health, it is crucial to be able to accurately identify A. Salmonicida.  However, current methods cannot distinguish between A. salmonicida and other closely related species and there is currently no molecular test specific to A. salmonicida available in Canada.  A key deliverable of this project will be high quality genome sequences for Aeromonas salmonicida, Aeromonas bestiarum, and ~5 additional closely related Aeromonas species.  The sequences will be made publicly available to DFO and others.  ",BC Ministry of Agriculture Animal Health Centre,Science to support hatchery modernization,Fish health and hatchery practices,y
BCSRIF,BCSRIF_2022_328,Salmon Recovery – advancing planning and action,2,Pacific Salmon Foundation,BC Wide and Coastal Waters,All of BC - particular on the Fraser,"This project will undertake activities to explore the current situation and context for Pacific salmon, present challenges and potential solutions. The Pacific Salmon Foundation (PSF) will undertake 4 activities including a rapid assessment to identify top priorities  for salmon at conservation unit or stock management unit scales, development of a Conservation Strategy for the Heart of the Fraser area, development of a Salmon Recovery Plan in the upper Fraser area and an application of an existing successful method to provide salmon seasonal access to floodplain habitat in the Lower Fraser R. ","The Upper Fraser Fisheries Conservation Alliance
First Nations Fisheries Council
Sumas First Nation",Understanding Salmon Ecosystems,Climate change vulnerabiliity,y
BCSRIF,BCSRIF_2022_329,Meziadin River Up-looking Hydroacoustic Sockeye Smolt Enumeration Project,2,Gitanyow Fisheries Authority,Central Coast and the North,Stewart,"The Gitanyow Huwlip Society will estimate Meziadin Lake sockeye smolt production for a period of 3 years. Gitanyow Fisheries Authority, partnered with Skeena Fisheries Commission, will  use an upward-looking hydroacoustic technique and implement a biological sampling program. Following a successful pilot of the hydroacoustic technology in the first season, this project will build two IPT (inclined plane traps) for the collection of bio samples over the study period. Information collected through the study, such as out migrating smolt abundance, size, age composition and origin, will be used to better understand Meziadin Lake sockeye productivity. This information will help inform future studies, restoration priorities, and management approaches for Meziadin Lake sockeye. ",DFO StAD,Understanding salmon ecosystems,Salmon population monitoring,y
BCSRIF,BCSRIF_2022_331,Bute Inlet Salmon Viability Strategy,2,Xwemalhkwu (Homalco) First Nation,South Coast,"Bute Inlet
Homalco Band Office is located in Campbell River BC","In response to the massive habitat destruction triggered by glacial melting in the Elliot Creek Watershed and severe storm destruction of the Orford Bay hatchery in 2020, Homalco First Nation will lead a project to reconstruct the Homalco-Taggares Hatchery in Orford Bay as a Multi-Species Hatchery and Stewardship Center. The project will undertake stock assessment and genetic analysis, and hatchery production activities to bolster the Southgate River chinook population, and collect oceanographic & climate related data in order to understand the effects of changing river  & ocean conditions on salmon stock survival. Further funding has been added to this proposal request to cover the activities of a Geohazard assessment for land stability before any construction activites occur. 
","Bute Inlet Roundtable Members 
Gillard Pass Fisheries Association 
Hakai Institute Ecosystem Research
Homalco First Nation 
DFO Stock Assessment & Community Advisor                                                                                                                    
Bute Inlet Roundtable                                                                                                                                                           
",Restoration and recovery,Recovery and rebuilding programs,y
BCSRIF,BCSRIF_2022_332,Research in support of Sarita Chinook as an Ecological Indicator and WCVI Chinook Salmon Rebuilding,2,Huu-ay-aht First Nations,South Coast,"Sarita River watershed near Bamfield and Anacla, Barkley Sound, Westcoast Vancouver Island","Huu-ay-aht First Nations will undertake work over a 3-year study period, to consider the applicability for the Sarita Chinook population as an ecological indicator for the COSEWIC listed West Vancouver Island, Ocean, Fall (South) population and the Westcoast Vancouver Island (WCVI) Management Unit. The proposed project will enumerate migration of Chinook smolts, monitor and evaluate salmon distribution, habitat use and spawning areas in the Sarita estuary and river system, consider predation impacts and study the nearshore marine habitat use and biological characteristics of Chinook Salmon in Numukamis Bay (which the Sarita River empties into) and Barkley Sound. ","Nitinat hatchery
DFO Southcoast - StAD (?)
WCVI Indigenous Nations
LGL Limited",Assessments,Life cycle assessment - Follow The Fish,y
BCSRIF,BCSRIF_2022_334,"First Nations led salmon habitat and population monitoring, research and cumulative effects assessment in the Lower Fraser River and Boundary Bay",2,Salish Sea Indigenous Guardians Association,Fraser and Interior,"Surrey, White Rock, Langley and surrounding areas",The Salish Sea Indigenous Guardians Association will build an Indigenous led salmon population and habitat monitoring program which will include the monitoring of both juvenile and adult salmon and their habitats in priority areas in the Lower Fraser River and Boundary Bay. This work will lead to the creation and implementation of an Indigenous lead cumulative effects assessment framework and the creation of a long-term restoration action plan which will utilize Indigenous knowledge from within the communities to set long term priorities and short-term actions. The project will also incorporate watershed scale assessments and specific research projects to understand the impacts of both floods and flood infrastructure on wild salmon populations and incorporate considerations for flood mitigation into salmon recovery plans.  ,"Fisheries and Oceans Canada’s Community Stream Monitoring network 
DFO Community Advisors  
Rivershed Society of BC
A Rocha
Semiahmoo Fish and Game Club
Langley Environmental Partners Society
Streamkeepers groups
Clear Seas
UBC - Indigenous Fisheries Center",Understanding salmon ecosystems,Freshwater ecosystems,y
BCSRIF,BCSRIF_2022_337,Chinook Salmon Assessments and WCVI Chinook Salmon Rebuilding in the Kaouk and Artlish Watersheds,2,Ka:’yu:’k’t’h’/Che:k’tles7et’h’ First Nation,South Coast,"Kaouk River and Artlish River watersheds located in Kyuquot Sound, Westcoast Vancouver Island","Ka:’yu:’k’t’h’/Che:k:tles7et’h’ First Nations (KCFN) will undertake work over a 3-year study period in the Kaouk and Artlish Rivers to fill in information gaps regarding the life history of two of three Chinook indicators for the West Vancouver Island, Ocean, Fall (North) population Conservation Unit. The project will build on stock assessment data collected over the past 10 years in the Kaouk and Artlish watersheds and will cover the life history from egg deposition by spawning Chinook to nearshore marine, in support of the WCVI Chinook rebuilding initiative. ","DFO Southcoast StAD
WCVI Indigenous Nations
LGL Limited",Assessments,Life cycle assessment - Follow The Fish,y
BCSRIF,BCSRIF_2022_339,NEWSS-Salmon Habitat Recovery Projects,2,NEWSS,Fraser and Interior,Nechako Valley (Vanderhoof),The Nechako Environment and Water Stewardship Society will complete fish habitat restoration projects  in the Nechako watershed to continue to enhance recovery opportunities for Chinook and Coho salmon as well as conduct a complementary eDNA study to assist in determining distribution of salmonids in the Stuart/Nechako watershed to further inform future restoration efforts in the area.,"UNBC
School District #91",Restoration and recovery,Restoration prioritization,y
BCSRIF,BCSRIF_2022_341,ʔaayaaqa (Herring) Herring Spawn Dynamics,2,Nuu-chah-nulth Tribal Council,,,,,Understanding salmon ecosystems,Marine ecosystems,y
BCSRIF,BCSRIF_2022_345,Digital Imaging of Wild Coho Returns to the Lillooet River Conservation Unit,2,Lil’wat First Nation,Fraser and Interior,Pemberton,"The primary goal of this project is to generate an escapement estimate of wild Coho to the Lillooet CU for each return year of 2023, 2024, 2025.  Key activities include; operating an ARIS from mid-Sept to mid-Nov and review data files and generating an escapement estimate.  This project will provide an estimate for escapement which will enable a data-driven approach to Coho fisheries improving the likelihood of sustainably managed salmon.  ","LGL Limited
JohnsonFishSci",Understanding salmon ecosystems,Salmon population monitoring,y
BCSRIF,BCSRIF_2022_346,Genetic monitoring of Kokanee-sockeye salmon (Oncorhynchus nerka) hybrid fitness and long term outcomes associated with an experimental re-introduction program,2,"University of British Columbia (Okanagan), Department of Biology",Columbia and Kootenays,"Skaha Lake, BC","This project builds on the the experimental sockeye salmon (Oncorhynchus nerka) reintroduction project in Skaha Lake (British Columbia) to investigate hybridization between anadromous sockeye and resident kokanee . This collaboration between Indigenous (Okanagan Nation Alliance), Provincial (BC Ministry of Forests) and Academic (University of British Columbia Okanagan) partners will combine genetic, morphological and microchemistry analyses to investigate behavior and fitness within the Skaha Lake system over a 15-year period.  The results from this work could inform government-to-government efforts to monitor sockeye reintroduction efforts, address critical uncertainties, and inform future management decisions. ","Okanagan Nation Alliance
BC Ministry of Forests
UBC Okanagan",Understanding salmon ecosystems,Salmon population monitoring,y
BCSRIF,BCSRIF_2022_347,Selective Fishing Using a Salmon Trap in the Campbell River Estuary,2,A-Tlegay Fisheries Society,South Coast,"Campbell River, Vancouver Island ","A-Tlegay Fisheries Society proposed project involves the assessment, design, construction, and operatation of a tidal waters selective fishery salmon trap close to their traditional fishing sites in the Campbell/Quinsam rivers estuary on Vancouver Island. Historically, heart and chevron shaped traps were used extensively by First Nation communities along the estuary to capture adult salmon prior to the development of commercial fisheries. Recent revitalization of fish traps as a terminal fishery in other areas along the coast has been shown to be successfully at catching and selectively harvest hatchery marked salmon species while releasing wild (unmarked) salmon and steelhead of conservation concern. Partnering with We Wai Kai First Nation, Wei Wai Kum First Nation, LGL Limited, and the Wild Fish Conservancy; the initiative will develop First Nations’ capacity for sustainable salmon stewardship through the development of the best selective harvest fishing methods possible in traditional fishing areas while preserving wild stocks of conservation concern.","LGL Limited
Wild Fish Conservancy ",Fishery monitoring and harvest techniques,Fishery monitoring and harvest techniques,y
BCSRIF,BCSRIF_2022_348,Chemainus-Koksilah Twinned Watershed Salmon Sustainability Project- Phase 2,2,Halalt First Nation,South Coast,"Chemainus/Crofton and Duncan, BC","Cowichan Tribes, in collaboration with Halalt First Nation, will expand the successful Chemainus-Koksilah Twinned Watershed Salmon Sustainability Project through enhanced stock assessment studies including the addition of a Passive Integrated Transponder (PIT) tagging component, and the continuation of process-based restoration work in high-valued tributaries of the Chemainus and Koksilah watersheds. The continuation and expansion of the current monitoring program would provide data on the abundance, productivity, and diversity of salmon and steelhead in the previously data-deficient Koksilah and Chemainus rivers over a 4 or 5-year life cycle for chum, coho, and COSEWIC-listed summer and fall-run Chinook salmon.
","Halalt First Nation 
Q'ul-lhanumutsun Aquatic Resources Society (QARS) 
DFO – StAD 
Nanaimo River Stewardship Society – support for PIT tag of hatchery raised Chemainus Chinook
Pacific Salmon Foundation 
Evans Redi-Mix ",Restoration and recovery,Recovery and rebuilding programs,y
BCSRIF,BCSRIF_2022_349,Clayoquot Pacific Salmon Recovery Initiative,2,Redd Fish Restoration Society,South Coast,Clayoquot Sound,"Redd Fish Restoration Society, in collaboration with with Ahousaht, Hesquiaht and Tla-o-qui-aht Nations, will build on the successess of the Clayoquot Wild Chinook Salmon Initiative Project to address habitat loss at a watershed scale in priority watersheds in Clayoquot Sound. The project will implement process-based restoration strategies starting with addressing slope stabilization issues resulting from forestry activities in the upper watersheds, and including but not limited to implementing instream habitat restoration in the mainstem and floodplain in each watershed to help create more productive rearing habitat to increase rearing potential to produce larger, healthier smolts capable of thriving in a changing marine environment.","Ahousaht Nation as represented by Maaqtusiis Hahoulthee Stewardship Society
Inter-Fluve
Tla-o-qui-aht First Nation
Hesquiaht First Nation",Restoration and recovery,Recovery and rebuilding programs,y
BCSRIF,BCSRIF_2022_351,Estimating aggregate Coho salmon escapement to the Lower Fraser Management Unit,2,Lower Fraser Fisheries Alliance Society,Fraser and Interior,Chilliwack (PIT Assessment site and Hatchery) and New Westminster (Coho Assessment Fishery),"The Lower Fraser Fisheries Alliance will continue the successful Chilliwack coho PIT tag escapement project to estimate the total escapement of coho to the Lower Fraser and Chilliwack River through the implementation of an assessment fishery and coho passive integrated transponder (PIT) program. The program will address knowledge gaps for the stock status of the Lower Fraser Coho Management Unit and results will be used to inform fisheries management decisions and support the long term prosperity of BC salmon stocks. 

","DFO Fraser StAD
LGL Consultants
Lil’Wat Nation",Understanding salmon ecosystems,Salmon population monitoring,y
BCSRIF,BCSRIF_2022_356,Campbell River Estuary Salt Marsh and Eelgrass Restoration,2,Greenways Land Trust,South Coast,"Campbell River, BC","This project will restore approximately two hectares of the Campbell River Estuary towards pre-development conditions, led by Discovery Coast Greenways Land Trust in partnership with the Wei Wai Kum First Nation. Using process-based restoration techniques, the project will re-create salt marsh and eelgrass habitat that has been lost due to historic logging practices in the estuary and improve connectivity to the river by adding new tidal channels. Increasing estuarine habitat for out-migrating juvenile chum and Chinook salmon in the system is expected to increase the amount of time they spend feeding and growing in the estuary, thereby increasing their survivability at sea. ","Wei Wai Kum First Nation 
City of Campbell River 
A-tlegay Fisheries Society ",Restoration and recovery,Recovery and rebuilding programs,y
